Player,OVERALL,AVG_CW,AVG_CCW,Shots,Front_CW,Front_CCW,Guard_CW,Guard_CCW,Draw_CW,Draw_CCW,Freeze_CW,Freeze_CCW,Take-out_CW,Take-out_CCW,Hit-roll_CW,Hit-roll_CCW,Clearing_CW,Clearing_CCW,Double_CW,Double_CCW,Raise_CW,Raise_CCW,Wick_CW,Wick_CCW
Brad_Gushue,86.00%,85.30%,86.70%,9223,100.00%,86.50%,93.20%,92.90%,85.30%,85.70%,83.90%,80.80%,89.40%,90.70%,80.50%,83.20%,95.30%,97.00%,72.80%,78.00%,76.90%,78.70%,66.70%,75.00%
Mark_Nichols,85.85%,84.90%,86.80%,8787,96.60%,98.10%,92.70%,91.80%,84.10%,85.50%,77.90%,83.60%,85.90%,88.90%,83.00%,82.40%,95.70%,96.40%,77.00%,79.50%,78.80%,80.30%,66.70%,75.00%
Geoff_Walker,90.65%,91.10%,90.20%,7434,95.90%,95.00%,92.80%,91.50%,90.70%,90.30%,84.80%,83.90%,88.90%,88.90%,81.90%,81.30%,89.50%,60.00%,82.10%,80.80%,83.70%,82.80%,59.50%,75.60%
Oskar_Eriksson,85.35%,85.50%,85.20%,7402,88.60%,93.60%,90.00%,92.30%,85.50%,84.80%,82.90%,69.60%,88.60%,89.50%,81.80%,82.90%,95.90%,95.50%,79.70%,75.60%,79.30%,78.80%,66.70%,77.50%
Ben_Hebert,90.70%,89.60%,91.80%,7380,95.70%,95.40%,91.30%,89.90%,88.80%,92.10%,83.70%,87.50%,86.10%,89.50%,77.50%,82.80%,70.00%,75.00%,66.70%,73.30%,86.50%,83.50%,72.30%,72.40%
Brett_Gallant,86.70%,85.70%,87.70%,7212,94.70%,95.30%,91.30%,94.60%,85.40%,85.90%,82.10%,83.40%,85.90%,89.10%,79.80%,84.40%,92.20%,95.10%,80.90%,79.10%,80.20%,83.20%,75.00%,83.30%
Marc_Kennedy,88.10%,88.20%,88.00%,6813,98.30%,93.40%,93.00%,95.20%,84.10%,86.50%,83.10%,82.50%,90.60%,90.20%,84.70%,84.60%,96.80%,94.70%,82.00%,83.60%,84.80%,83.40%,100.00%,65.00%
Amos_Mosaner,82.30%,81.90%,82.70%,6545,100.00%,90.30%,87.70%,91.30%,77.30%,79.80%,81.00%,76.60%,85.90%,85.80%,81.40%,79.70%,94.80%,94.50%,76.40%,78.50%,79.40%,77.30%,100.00%,60.70%
Emma_Miskew,82.70%,82.60%,82.80%,6436,89.10%,94.10%,89.30%,91.00%,78.80%,80.70%,74.50%,75.00%,84.80%,84.20%,80.20%,78.00%,90.60%,91.40%,76.00%,71.30%,76.50%,78.70%,54.50%,91.70%
Christoffer_Sundgren,91.10%,91.40%,90.80%,6345,95.60%,95.00%,87.40%,85.80%,91.60%,92.30%,84.50%,90.10%,90.00%,89.20%,80.10%,79.90%,87.50%,90.00%,94.40%,79.40%,86.10%,86.10%,63.10%,61.70%
Ryan_Harnden,89.80%,90.30%,89.30%,6314,96.30%,95.30%,93.80%,91.30%,90.00%,89.40%,81.60%,82.30%,81.40%,87.40%,76.70%,83.90%,87.10%,85.10%,74.00%,78.40%,85.10%,84.10%,70.30%,81.40%
Niklas_Edin,84.10%,83.60%,84.60%,6311,100.00%,100.00%,91.00%,91.10%,84.70%,86.60%,70.60%,75.50%,86.90%,90.00%,80.70%,81.80%,95.00%,96.60%,74.50%,71.80%,76.30%,77.10%,75.00%,71.40%
Rachel_Homan,82.05%,82.20%,81.90%,6293,90.00%,65.00%,87.20%,88.20%,81.30%,79.70%,72.00%,71.50%,86.60%,87.60%,81.40%,78.80%,95.50%,95.70%,72.10%,73.30%,66.80%,69.60%,68.20%,85.70%
Sofia_Mabergs,86.20%,86.00%,86.40%,6199,93.20%,92.70%,86.30%,83.90%,86.00%,86.40%,77.90%,80.40%,82.10%,83.50%,76.70%,78.10%,91.30%,88.60%,71.60%,75.00%,69.40%,82.90%,56.90%,68.70%
Anna_Hasselborg,80.65%,79.00%,82.30%,6164,90.60%,100.00%,86.40%,88.60%,77.60%,80.30%,72.60%,68.10%,85.10%,88.00%,73.50%,78.60%,94.00%,96.90%,70.00%,71.00%,65.40%,73.10%,72.90%,75.00%
Brad_Jacobs,83.40%,82.90%,83.90%,6129,83.30%,100.00%,90.20%,91.40%,83.40%,81.20%,79.80%,83.10%,85.60%,87.80%,80.50%,81.50%,95.50%,97.20%,74.60%,72.70%,74.00%,75.40%,100.00%,N/A
Agnes_Knochenhauer,82.75%,81.50%,84.00%,6114,86.60%,89.70%,89.70%,90.20%,77.50%,82.00%,67.90%,72.80%,83.50%,84.50%,76.80%,77.60%,91.20%,93.60%,73.10%,77.10%,73.90%,72.70%,72.50%,69.10%
Kerri_Einarson,78.60%,79.10%,78.10%,6097,85.00%,86.80%,89.00%,87.10%,76.80%,76.30%,73.90%,67.60%,83.50%,81.80%,76.50%,76.60%,96.60%,91.50%,69.10%,65.40%,65.30%,71.60%,83.30%,100.00%
Jennifer_Jones,77.65%,79.00%,76.30%,5963,78.10%,81.20%,87.00%,85.40%,77.40%,74.70%,79.70%,71.20%,82.70%,81.90%,75.20%,72.50%,93.70%,91.70%,65.90%,58.60%,69.70%,64.90%,85.00%,75.00%
Sara_Mcmanus,83.00%,81.50%,84.50%,5953,91.70%,91.80%,91.80%,90.80%,78.80%,80.70%,73.30%,81.90%,83.00%,87.50%,74.20%,81.40%,93.70%,94.40%,74.70%,76.20%,75.30%,78.00%,75.00%,78.30%
Kevin_Koe,82.65%,81.00%,84.30%,5877,97.70%,87.50%,91.60%,92.20%,79.80%,83.30%,72.70%,81.20%,83.20%,86.90%,80.20%,81.10%,94.70%,98.90%,71.20%,75.30%,76.50%,75.60%,70.80%,75.00%
Kaitlyn_Lawes,80.35%,80.50%,80.20%,5799,94.60%,93.10%,88.50%,90.60%,78.40%,78.00%,73.10%,74.80%,82.40%,82.50%,78.10%,77.00%,94.20%,92.10%,68.00%,69.70%,70.80%,69.10%,75.00%,50.00%
Bruce_Mouat,84.40%,84.40%,84.40%,5754,83.30%,97.20%,93.80%,93.80%,83.20%,84.70%,78.60%,80.60%,90.00%,89.10%,84.30%,82.80%,95.20%,96.00%,77.30%,76.50%,79.10%,82.20%,83.30%,75.00%
Brent_Laing,87.40%,87.40%,87.40%,5539,94.40%,95.50%,92.10%,91.90%,85.70%,85.90%,80.60%,83.90%,87.70%,88.80%,83.00%,81.80%,93.00%,93.30%,75.70%,75.70%,79.20%,83.00%,54.20%,75.00%
Joel_Retornaz,80.80%,80.50%,81.10%,5479,95.20%,94.40%,92.50%,92.20%,80.40%,80.80%,76.80%,81.00%,85.30%,86.70%,76.50%,80.20%,93.00%,94.20%,73.80%,68.10%,75.30%,75.60%,81.20%,96.40%
Silvana_Tirinzoni,82.15%,81.20%,83.10%,5340,85.40%,92.20%,88.90%,84.90%,77.60%,77.70%,64.80%,82.50%,84.60%,88.20%,80.10%,79.60%,95.00%,94.10%,72.00%,73.50%,69.00%,80.80%,85.70%,66.70%
Val_Sweeting,82.05%,82.10%,82.00%,5274,91.40%,85.60%,88.90%,88.60%,76.80%,78.20%,75.70%,73.90%,85.00%,83.00%,76.40%,80.60%,93.40%,93.60%,74.40%,75.00%,74.40%,75.50%,100.00%,N/A
Sarah_Wilkes,85.40%,85.50%,85.30%,5168,93.50%,93.50%,91.00%,91.20%,84.10%,85.10%,82.90%,81.20%,83.50%,82.40%,78.60%,79.60%,95.40%,92.70%,77.50%,76.10%,79.50%,76.70%,70.00%,75.00%
Brendan_Bottcher,84.05%,84.50%,83.60%,5082,85.70%,91.70%,90.00%,90.60%,84.30%,83.20%,79.50%,73.60%,85.60%,85.20%,81.30%,82.20%,97.40%,98.00%,79.60%,70.40%,75.60%,79.40%,100.00%,N/A
Sven_Michel,83.85%,84.10%,83.60%,5049,92.30%,88.80%,91.70%,89.10%,83.50%,83.20%,84.10%,80.40%,84.30%,86.40%,84.00%,80.60%,92.70%,93.10%,78.20%,75.30%,77.70%,79.80%,65.40%,71.40%
Bobby_Lammie,84.70%,85.20%,84.20%,4933,94.40%,93.00%,89.90%,92.40%,83.80%,82.10%,82.60%,79.20%,85.40%,86.60%,84.10%,82.20%,93.40%,92.60%,79.70%,77.00%,77.50%,80.40%,75.00%,78.10%
Shannon_Birchard,83.05%,82.80%,83.30%,4909,88.10%,92.50%,88.40%,88.90%,80.80%,80.70%,73.40%,73.00%,81.30%,82.50%,80.00%,79.80%,92.70%,92.20%,74.60%,78.10%,74.40%,67.90%,85.00%,87.50%
Sebastiano_Arman,84.05%,82.50%,85.60%,4831,95.50%,97.10%,89.70%,92.90%,80.20%,84.10%,75.30%,83.70%,83.00%,86.70%,79.20%,79.50%,91.80%,93.20%,81.50%,76.80%,76.30%,77.00%,71.90%,77.80%
Jocelyn_Peterman,81.35%,80.70%,82.00%,4824,88.60%,87.00%,90.90%,89.40%,79.90%,78.70%,71.80%,70.90%,78.10%,83.20%,76.40%,77.20%,88.70%,90.90%,76.50%,77.90%,68.30%,77.20%,37.50%,81.20%
Hammy_Mcmillan,90.20%,90.90%,89.50%,4696,95.00%,94.50%,91.80%,90.10%,90.20%,88.70%,85.00%,87.30%,86.50%,95.30%,84.30%,83.20%,80.80%,79.50%,64.60%,88.30%,81.00%,77.10%,76.50%,71.00%
Grant_Hardie,86.60%,87.10%,86.10%,4505,98.40%,86.80%,94.50%,92.30%,82.70%,84.30%,86.40%,79.50%,90.70%,90.30%,86.60%,85.90%,96.30%,95.70%,80.80%,81.50%,74.80%,78.20%,100.00%,65.00%
Alina_Pätz,81.25%,80.70%,81.80%,4476,96.40%,79.20%,91.70%,88.50%,79.90%,79.40%,66.70%,72.40%,84.10%,88.40%,77.60%,78.00%,94.90%,92.30%,71.20%,68.90%,71.30%,71.20%,83.30%,70.00%
Karrick_Martin,89.20%,90.40%,88.00%,4470,94.90%,94.10%,88.10%,84.90%,90.20%,87.30%,87.60%,83.40%,85.20%,80.50%,83.00%,71.60%,92.90%,77.80%,77.50%,67.90%,86.10%,79.40%,77.60%,77.80%
Matt_Dunstone,83.40%,83.80%,83.00%,4439,94.40%,100.00%,92.00%,89.90%,82.50%,83.90%,73.60%,76.00%,88.30%,87.80%,79.90%,77.80%,97.90%,94.00%,70.00%,65.10%,78.20%,77.40%,25.00%,N/A
Tracy_Fleury,82.10%,81.00%,83.20%,4414,75.00%,87.50%,90.50%,91.00%,78.10%,80.30%,76.00%,75.00%,85.60%,83.50%,75.90%,82.40%,91.70%,94.30%,73.00%,76.00%,60.30%,76.10%,100.00%,N/A
Reid_Carruthers,82.40%,81.80%,83.00%,4183,90.30%,93.40%,90.70%,92.30%,79.00%,81.80%,72.40%,78.80%,85.00%,86.00%,76.80%,76.40%,97.90%,95.30%,73.50%,67.90%,78.20%,76.30%,N/A,N/A
Yannick_Schwaller,83.45%,83.70%,83.20%,4103,100.00%,92.20%,92.10%,92.20%,81.80%,81.30%,81.00%,83.60%,88.60%,87.50%,81.80%,81.40%,93.40%,94.80%,74.00%,74.90%,78.30%,78.30%,95.00%,63.90%
Stefania_Constantini,76.05%,73.00%,79.10%,4012,97.70%,96.10%,81.50%,85.30%,72.90%,79.90%,69.40%,74.00%,77.20%,83.60%,72.70%,78.20%,85.70%,90.00%,66.90%,68.00%,61.30%,60.00%,61.50%,63.20%
Ryan_Fry,85.20%,84.60%,85.80%,3986,93.80%,92.40%,89.60%,90.40%,82.40%,82.70%,81.20%,81.70%,87.30%,87.50%,80.60%,81.40%,94.10%,95.00%,76.80%,78.50%,77.00%,84.70%,N/A,N/A
Mike_Mcewen,83.35%,82.70%,84.00%,3944,100.00%,85.70%,95.10%,90.80%,85.00%,83.70%,84.10%,76.50%,83.00%,86.50%,81.60%,81.20%,96.80%,96.70%,65.90%,71.20%,75.80%,82.10%,N/A,N/A
Ej_Harnden,87.00%,87.10%,86.90%,3936,92.10%,96.00%,90.80%,92.10%,85.10%,84.90%,83.50%,82.60%,87.20%,89.40%,84.20%,81.60%,94.50%,94.40%,77.20%,78.90%,84.60%,83.70%,N/A,100.00%
Karlee_Burgess,79.90%,79.90%,79.90%,3830,91.70%,91.40%,88.90%,87.30%,73.20%,74.70%,74.20%,74.30%,81.80%,80.90%,76.10%,76.80%,90.80%,91.40%,73.70%,72.80%,71.80%,66.30%,N/A,N/A
Brad_Thiessen,85.00%,85.30%,84.70%,3818,94.40%,95.40%,90.60%,92.50%,81.40%,81.20%,79.80%,77.60%,84.20%,83.60%,81.70%,80.70%,96.00%,93.50%,78.00%,79.40%,80.10%,81.40%,100.00%,100.00%
Kristin_Maccuish,84.60%,85.00%,84.20%,3788,92.40%,91.20%,86.80%,84.00%,84.30%,83.60%,78.50%,77.20%,84.40%,81.30%,71.20%,74.60%,47.70%,50.00%,75.00%,57.10%,73.90%,65.00%,61.30%,60.80%
Derek_Samagalski,85.40%,84.70%,86.10%,3782,95.50%,95.30%,92.90%,92.10%,84.50%,82.90%,80.80%,87.30%,84.20%,87.80%,78.70%,80.40%,89.20%,93.50%,78.20%,77.80%,79.40%,78.30%,56.20%,N/A
John_Morris,85.50%,84.70%,86.30%,3745,85.50%,97.60%,93.80%,92.70%,84.90%,85.90%,77.20%,82.00%,85.30%,87.40%,81.10%,82.40%,95.80%,95.50%,77.80%,81.50%,74.50%,78.80%,100.00%,100.00%
Bj_Neufeld,85.55%,85.60%,85.50%,3717,88.40%,93.40%,91.20%,92.20%,82.80%,84.50%,82.10%,79.70%,88.90%,87.60%,83.20%,82.30%,93.40%,96.00%,81.40%,77.20%,76.90%,77.90%,91.70%,N/A
Madeleine_Dupont,73.20%,71.40%,75.00%,3631,87.50%,90.60%,79.60%,87.80%,70.80%,72.70%,51.20%,77.90%,79.50%,81.50%,71.50%,73.70%,82.10%,85.80%,62.20%,63.20%,60.60%,68.30%,57.10%,50.00%
Colton_Flasch,82.45%,81.90%,83.00%,3624,96.80%,91.20%,91.60%,90.90%,79.10%,82.70%,79.20%,76.00%,84.20%,84.20%,79.20%,79.40%,89.60%,93.20%,72.10%,69.00%,77.20%,76.10%,100.00%,0.00%
Selena_Njegovan,80.25%,80.10%,80.40%,3607,95.40%,97.70%,89.50%,88.80%,76.10%,77.10%,77.10%,66.90%,81.40%,83.70%,75.20%,76.90%,90.60%,89.10%,69.50%,69.90%,65.30%,70.20%,N/A,N/A
Rasmus_Wranå,86.50%,85.90%,87.10%,3539,97.40%,95.80%,87.90%,91.80%,83.40%,86.80%,81.90%,91.20%,89.10%,88.80%,78.80%,76.50%,93.50%,94.50%,81.70%,76.40%,80.10%,81.20%,77.50%,86.50%
Colton_Lott,85.45%,85.40%,85.50%,3518,94.90%,94.60%,92.90%,91.00%,82.90%,81.90%,82.50%,80.80%,86.00%,89.10%,82.10%,84.30%,92.20%,91.20%,81.10%,78.50%,78.30%,82.60%,96.40%,85.70%
Jennifer_Dodds,80.00%,78.80%,81.20%,3451,91.40%,95.40%,85.40%,85.60%,76.80%,79.40%,80.00%,60.00%,83.80%,86.60%,76.40%,78.10%,91.20%,91.90%,70.10%,70.50%,66.40%,70.30%,73.80%,70.80%
Tyler_Tardi,81.35%,81.60%,81.10%,3436,85.70%,95.70%,91.70%,88.60%,78.50%,79.80%,79.20%,76.60%,85.10%,84.10%,79.90%,77.40%,93.50%,95.90%,71.40%,67.10%,70.70%,75.70%,N/A,0.00%
Eve_Muirhead,78.80%,78.60%,79.00%,3413,100.00%,100.00%,85.20%,83.70%,79.10%,78.60%,70.00%,67.50%,84.40%,86.10%,75.30%,75.30%,89.80%,89.20%,61.80%,66.20%,70.80%,69.80%,52.30%,81.20%
Denise_Dupont,77.80%,76.30%,79.30%,3370,90.80%,79.60%,85.10%,83.10%,72.90%,75.30%,76.70%,70.00%,76.80%,85.70%,73.80%,79.80%,87.20%,86.20%,69.00%,74.50%,64.30%,70.10%,55.40%,57.70%
Connor_Njegovan,90.10%,90.10%,90.10%,3288,95.70%,94.90%,93.30%,91.80%,88.00%,87.90%,75.50%,85.10%,90.50%,90.50%,79.70%,70.60%,93.80%,86.80%,81.80%,69.70%,73.10%,84.50%,75.00%,60.50%
Benoit_Schwarz,82.45%,82.00%,82.90%,3280,66.70%,95.80%,92.60%,88.90%,84.40%,82.50%,78.60%,84.80%,84.80%,89.40%,79.80%,80.70%,92.60%,93.50%,74.70%,69.90%,70.50%,75.60%,62.50%,45.80%
Dawn_Mcewen,87.80%,88.60%,87.00%,3267,93.70%,93.90%,89.20%,86.90%,87.80%,86.80%,79.30%,74.20%,87.50%,86.70%,74.50%,82.30%,87.50%,80.20%,70.80%,70.80%,76.00%,63.90%,60.70%,70.00%
Joanne_Courtney,84.60%,85.60%,83.60%,3226,94.10%,93.40%,87.40%,79.70%,81.40%,80.10%,73.90%,71.20%,83.50%,84.90%,80.30%,78.80%,92.10%,92.20%,78.30%,69.80%,75.60%,71.70%,88.90%,62.90%
Wouter_Goesgens,76.55%,77.40%,75.70%,3183,100.00%,90.00%,89.00%,89.80%,77.70%,77.10%,75.00%,59.40%,82.90%,85.80%,75.00%,71.40%,83.00%,84.50%,62.10%,60.00%,72.00%,64.20%,60.00%,83.30%
Glenn_Howard,84.55%,83.60%,85.50%,3173,100.00%,95.00%,88.90%,90.50%,84.50%,84.70%,79.20%,80.10%,85.70%,89.20%,80.00%,81.60%,96.60%,98.10%,67.20%,71.00%,79.60%,77.80%,N/A,N/A
E.j._Harnden,85.05%,84.80%,85.30%,3139,92.90%,96.40%,94.00%,90.60%,82.80%,82.20%,79.00%,81.00%,86.30%,87.00%,81.80%,82.50%,94.20%,93.90%,74.70%,76.70%,76.10%,76.80%,100.00%,N/A
Analena_Jentsch,77.15%,76.60%,77.70%,3112,87.20%,85.30%,82.40%,80.90%,73.20%,76.10%,56.20%,56.20%,74.60%,81.40%,74.20%,73.50%,84.40%,81.10%,64.20%,65.40%,57.40%,69.70%,59.70%,54.00%
Carole_Howald,85.55%,84.40%,86.70%,3106,93.90%,91.50%,90.60%,88.30%,83.70%,86.60%,75.00%,80.50%,85.90%,90.10%,77.20%,80.40%,93.00%,94.40%,76.30%,73.90%,73.90%,73.40%,78.90%,77.00%
Chelsea_Carey,76.35%,76.30%,76.40%,3101,91.70%,60.00%,80.80%,87.50%,73.60%,73.60%,73.20%,76.90%,81.80%,79.70%,75.30%,76.20%,92.30%,88.40%,62.10%,63.20%,61.40%,64.30%,N/A,N/A
Tabitha_Peterson,76.40%,76.70%,76.10%,3065,94.60%,100.00%,87.00%,89.80%,77.40%,76.20%,83.50%,67.80%,79.10%,80.40%,73.60%,73.20%,90.40%,94.50%,60.10%,62.90%,69.10%,58.00%,60.70%,0.00%
Lauren_Lenentine,82.55%,84.30%,80.80%,3041,93.70%,92.60%,87.50%,87.30%,82.40%,81.30%,78.30%,67.30%,76.30%,78.20%,73.80%,76.70%,88.80%,67.90%,72.20%,43.10%,67.20%,69.30%,62.50%,44.70%
Mathilde_Halse,76.00%,73.60%,78.40%,3027,84.00%,91.40%,84.20%,81.40%,71.00%,76.50%,69.20%,61.10%,76.80%,80.70%,71.00%,77.30%,87.50%,91.70%,64.00%,66.40%,59.20%,65.60%,55.00%,43.80%
Angela_Romei,79.15%,78.20%,80.10%,3022,87.30%,86.80%,88.70%,85.70%,75.90%,77.10%,68.20%,78.30%,76.30%,84.50%,72.00%,72.50%,87.20%,89.20%,68.40%,70.40%,64.00%,65.80%,33.30%,51.80%
Darren_Moulding,83.80%,84.70%,82.90%,3013,96.70%,88.90%,90.40%,91.20%,81.80%,80.40%,84.60%,76.00%,87.10%,82.40%,80.90%,79.90%,93.80%,94.40%,75.90%,82.50%,78.60%,77.20%,100.00%,N/A
Chinami_Yoshida,79.60%,79.10%,80.10%,3006,89.50%,85.40%,86.80%,89.70%,75.00%,75.40%,73.60%,72.60%,82.90%,81.50%,80.20%,78.50%,89.10%,89.60%,67.80%,75.00%,67.30%,74.40%,33.30%,75.00%
John_Shuster,79.15%,79.30%,79.00%,2995,50.00%,80.00%,89.80%,81.00%,78.00%,80.80%,63.20%,68.50%,88.00%,86.80%,78.80%,78.70%,91.50%,93.10%,70.60%,72.40%,70.30%,65.90%,62.50%,53.60%
Lisa_Weagle,85.85%,86.50%,85.20%,2976,93.80%,94.40%,81.10%,80.70%,87.00%,86.90%,68.80%,83.30%,86.00%,83.90%,83.10%,86.40%,62.50%,65.00%,89.30%,67.90%,71.70%,78.70%,66.40%,72.30%
Matt_Hamilton,81.95%,82.10%,81.80%,2922,93.90%,90.90%,86.50%,88.50%,81.50%,79.30%,72.90%,85.70%,81.60%,83.30%,75.70%,78.80%,89.30%,90.40%,73.00%,72.60%,80.90%,77.40%,87.50%,79.50%
Yurika_Yoshida,85.60%,84.80%,86.40%,2913,91.10%,94.20%,90.10%,87.00%,82.90%,85.10%,89.60%,84.30%,76.90%,82.70%,79.10%,80.50%,71.40%,91.70%,66.70%,57.10%,66.70%,84.50%,65.00%,62.30%
Jamie_Koe,74.70%,74.20%,75.20%,2863,100.00%,92.90%,89.50%,91.70%,71.50%,72.90%,73.20%,76.50%,76.00%,77.80%,73.70%,72.00%,93.30%,98.40%,64.60%,54.60%,68.80%,66.80%,N/A,N/A
