Player,AVG_CW,AVG_CCW,AVG_TOTAL,CLUTCH,Shots,Positions_JSON,Teams_JSON,Front_CW,Front_CCW,Guard_CW,Guard_CCW,Draw_CW,Draw_CCW,Freeze_CW,Freeze_CCW,Take-out_CW,Take-out_CCW,Hit-roll_CW,Hit-roll_CCW,Clearing_CW,Clearing_CCW,Double_CW,Double_CCW,Raise_CW,Raise_CCW,Wick_CW,Wick_CCW,Promotion_CW,Promotion_CCW,LSFE_W,LSFE_L,NLSFE_W,NLSFE_L,LSFEW%,NLSFEW%,LSFE%,Wins,Loses,Games,ScoreFor,ScoreAgainst,Win%,PP_team_throws16_hammer,PP_opp_throws16_hammer,OP_team_throws16_hammer,OP_opp_throws16_hammer,HammerEff%,ForceEff%,StealEff%,StealDef%,HammerFactor(pp),FromBehind%,Choke%
Aaron Bartling,65.10%,72.40%,68.90%,49.50%,186,"{""Third"": {""start"": ""2021-03-07"", ""end"": ""2021-03-10"", ""count"": 2}, ""Second"": {""start"": ""2021-03-10"", ""end"": ""2021-03-10"", ""count"": 1}, ""Fourth"": {""start"": ""2025-03-02"", ""end"": ""2025-03-06"", ""count"": 5}}","{""PE (MacKenzie)"": {""start"": ""2021-03-07"", ""end"": ""2021-03-10"", ""count"": 2}, ""NT (Bartling)"": {""start"": ""2025-03-02"", ""end"": ""2025-03-06"", ""count"": 5}}",87.50%,,75.00%,62.50%,61.60%,76.60%,75.00%,87.50%,73.30%,70.00%,55.60%,70.00%,100.00%,100.00%,75.00%,25.00%,16.70%,33.30%,,,,,2,5,2,18,28.6,10,14.8,4,23,27,124,229,14.8,0.74,0.07,0.74,1.62,16,35.7,7.1,36,-20,0,
Aaron Feltham,85.10%,86.70%,86.00%,91.00%,146,"{""Lead"": {""start"": ""2025-02-28"", ""end"": ""2025-03-06"", ""count"": 6}}","{""NL (Dilello)"": {""start"": ""2025-02-28"", ""end"": ""2025-03-06"", ""count"": 6}}",88.20%,89.30%,85.70%,100.00%,83.80%,83.60%,,50.00%,75.00%,100.00%,50.00%,66.70%,,,,,,100.00%,,,,,0,1,1,6,0,14.3,12.5,1,7,8,32,61,12.5,0.56,0.28,0.74,0.84,12.8,40.6,18.8,41,-28.2,0,0
Aaron Fraser,50.80%,46.70%,49.50%,65.60%,48,"{""Second"": {""start"": ""2016-03-03"", ""end"": ""2016-03-04"", ""count"": 2}}","{""NU (Kingdon)"": {""start"": ""2016-03-03"", ""end"": ""2016-03-04"", ""count"": 2}}",75.00%,,,,30.00%,55.00%,28.60%,18.80%,56.80%,56.20%,,50.00%,100.00%,,50.00%,,0.00%,75.00%,,,,,0,2,0,10,0,0,0,0,12,12,30,124,0,0.5,0,1.12,3.12,6.2,12.5,0,56.2,-50,0,
Aaron Sluchinski,79.50%,81.70%,80.70%,81.10%,683,"{""Lead"": {""start"": ""2022-03-07"", ""end"": ""2022-03-08"", ""count"": 2}, ""Fourth"": {""start"": ""2022-10-18"", ""end"": ""2025-03-03"", ""count"": 28}, ""Second"": {""start"": ""2024-11-05"", ""end"": ""2024-11-08"", ""count"": 2}, ""Third"": {""start"": ""2024-11-06"", ""end"": ""2025-03-06"", ""count"": 8}}","{""CA (Bottcher)"": {""start"": ""2022-03-07"", ""end"": ""2022-03-08"", ""count"": 2}, ""Sluchinski"": {""start"": ""2022-10-18"", ""end"": ""2024-10-05"", ""count"": 21}, ""AB-S (Sluchinski)"": {""start"": ""2024-03-01"", ""end"": ""2024-03-07"", ""count"": 6}, ""Koe"": {""start"": ""2024-11-05"", ""end"": ""2024-11-08"", ""count"": 4}, ""AB (Koe)"": {""start"": ""2025-02-28"", ""end"": ""2025-03-06"", ""count"": 6}}",100.00%,92.90%,97.70%,91.70%,78.90%,81.80%,84.60%,70.80%,84.40%,83.20%,72.60%,73.60%,93.20%,100.00%,54.80%,68.40%,81.70%,87.50%,,,87.50%,87.50%,91,44,52,57,67.4,47.7,58.6,144,101,245,1478,1341,58.8,0.96,0.29,0.32,1.19,26.3,26.2,20.1,21.1,5.2,24,7.1
Aaron Squires,80.30%,82.40%,81.30%,92.80%,307,"{""Fourth"": {""start"": ""2016-03-20"", ""end"": ""2017-02-04"", ""count"": 6}, ""Third"": {""start"": ""2017-11-06"", ""end"": ""2017-11-10"", ""count"": 5}}","{""WLU"": {""start"": ""2016-03-20"", ""end"": ""2016-03-23"", ""count"": 4}, ""Bice"": {""start"": ""2017-11-06"", ""end"": ""2017-11-10"", ""count"": 5}, ""CAN (Squires)"": {""start"": ""2017-02-02"", ""end"": ""2017-02-04"", ""count"": 2}}",87.50%,83.30%,87.50%,94.40%,74.30%,77.10%,81.20%,86.10%,76.50%,86.70%,82.80%,75.00%,100.00%,100.00%,77.30%,75.00%,100.00%,82.50%,,,,25.00%,7,6,6,5,53.8,54.5,54.2,13,11,24,155,141,54.2,1.2,0.36,0.29,0.81,33.8,31,28.6,23.1,10.7,20,0
Aaron Watson,94.30%,90.30%,93.20%,98.00%,202,"{""Lead"": {""start"": ""2013-03-02"", ""end"": ""2013-03-07"", ""count"": 6}}","{""BC (Bilesky)"": {""start"": ""2013-03-02"", ""end"": ""2013-03-07"", ""count"": 6}}",96.70%,96.40%,87.50%,,93.90%,85.20%,100.00%,100.00%,83.30%,85.00%,100.00%,100.00%,,,,100.00%,100.00%,,,,,,1,7,0,3,12.5,0,9.1,1,10,11,47,86,9.1,0.82,0.1,0.47,1.27,17.6,20.4,8.2,33.3,-15.7,0,100
Abbes Emira,79.40%,72.90%,76.30%,72.20%,175,"{""Third"": {""start"": ""2022-04-12"", ""end"": ""2022-10-21"", ""count"": 11}}","{""Jentsch"": {""start"": ""2022-04-12"", ""end"": ""2022-10-21"", ""count"": 11}}",100.00%,58.30%,85.00%,62.50%,77.60%,63.80%,75.00%,18.80%,80.00%,92.10%,80.00%,70.80%,91.70%,93.20%,80.00%,66.70%,66.70%,75.00%,,,,,3,4,0,5,42.9,0,25,3,9,12,56,74,25,0.84,0.44,0.49,1.44,20.4,29.4,20.6,28.6,-8.2,0,0
Abby Ackland,74.70%,75.10%,74.90%,71.10%,670,"{""Fourth"": {""start"": ""2016-01-23"", ""end"": ""2016-01-29"", ""count"": 7}, ""Third"": {""start"": ""2021-12-19"", ""end"": ""2024-10-04"", ""count"": 25}}","{""MB"": {""start"": ""2016-01-23"", ""end"": ""2016-01-29"", ""count"": 7}, ""Jones"": {""start"": ""2021-12-19"", ""end"": ""2021-12-19"", ""count"": 1}, ""Ackland"": {""start"": ""2023-01-10"", ""end"": ""2023-01-14"", ""count"": 5}, ""Campbell"": {""start"": ""2023-10-17"", ""end"": ""2024-10-04"", ""count"": 13}, ""WC3 (Walter)"": {""start"": ""2023-02-18"", ""end"": ""2023-02-23"", ""count"": 6}}",100.00%,75.00%,88.80%,84.00%,74.00%,66.00%,71.20%,73.70%,76.70%,80.00%,76.90%,75.70%,85.00%,95.50%,57.00%,53.30%,57.60%,69.40%,,,,,103,49,64,73,67.8,46.7,57.8,167,122,289,1960,1618,57.8,1.05,0.37,0.4,1.21,26.3,34,25.6,31.7,-5.4,13,0
Abby Barker,88.50%,84.00%,86.90%,66.70%,40,"{""Lead"": {""start"": ""2022-03-26"", ""end"": ""2022-03-29"", ""count"": 2}}","{""PE (McLean)"": {""start"": ""2022-03-26"", ""end"": ""2022-03-29"", ""count"": 2}}",100.00%,93.80%,,,90.00%,75.00%,0.00%,100.00%,90.00%,66.70%,75.00%,100.00%,,,,,,,,,,,0,0,1,1,,50,50,1,1,2,13,15,50,1.11,0.3,0.11,1.4,33.3,20,20,11.1,22.2,0,
Abby Burgess,79.50%,81.20%,80.10%,87.50%,34,"{""Lead"": {""start"": ""2022-09-21"", ""end"": ""2022-09-21"", ""count"": 1}, ""Fourth"": {""start"": ""2024-09-26"", ""end"": ""2024-09-26"", ""count"": 1}}","{""Larocque"": {""start"": ""2022-09-21"", ""end"": ""2022-09-21"", ""count"": 1}, ""Burgess"": {""start"": ""2024-09-26"", ""end"": ""2024-09-26"", ""count"": 1}}",96.40%,95.80%,100.00%,,50.00%,75.00%,75.00%,,79.20%,50.00%,87.50%,87.50%,,,,,,,,,,,0,0,0,2,,0,0,0,2,2,7,22,0,0.64,0,1,1.83,18.2,33.3,0,54.5,-36.3,0,
