Player,AVG_CW,AVG_CCW,AVG_TOTAL,CLUTCH,Shots,Positions_JSON,Teams_JSON,Throws,Age,Born,Home,Job,School,Uni,Front_CW,Front_CCW,Guard_CW,Guard_CCW,Draw_CW,Draw_CCW,Freeze_CW,Freeze_CCW,Take-out_CW,Take-out_CCW,Hit-roll_CW,Hit-roll_CCW,Clearing_CW,Clearing_CCW ,Double_CW,Double_CCW,Raise_CW,Raise_CCW,Wick_CW,Wick_CCW,Promotion_CW,Promotion_CCW,Clutch_Front_CW,Clutch_Front_CCW,Clutch_Guard_CW,Clutch_Guard_CCW,Clutch_Draw_CW,Clutch_Draw_CCW,Clutch_Freeze_CW,Clutch_Freeze_CCW,Clutch_Take-out_CW,Clutch_Take-out_CCW,Clutch_Hit-roll_CW,Clutch_Hit-roll_CCW,Clutch_Clearing_CW,Clutch_Clearing_CCW,Clutch_Double_CW,Clutch_Double_CCW,Clutch_Raise_CW,Clutch_Raise_CCW,Clutch_Wick_CW,Clutch_Wick_CCW,Clutch_Promotion_CW,Clutch_Promotion_CCW,PP_team_throws16_hammer,PP_opp_throws16_hammer,HammerEnds,DefEnds,HammerEff%,ForceEff%,StealEff%,StealDef%,HammerFactor(pp),FromBehind_Opps,FromBehind_Success,FromBehind%,Choke_Opps,Choke_Fail,Choke%,Draws_2000,Takeouts_2000,Draws_2001,Takeouts_2001,Draws_2002,Takeouts_2002,Draws_2003,Takeouts_2003,Draws_2004,Takeouts_2004,Draws_2005,Takeouts_2005,Draws_2006,Takeouts_2006,Draws_2007,Takeouts_2007,Draws_2008,Takeouts_2008,Draws_2009,Takeouts_2009,Draws_2010,Takeouts_2010,Draws_2011,Takeouts_2011,Draws_2012,Takeouts_2012,Draws_2013,Takeouts_2013,Draws_2014,Takeouts_2014,Draws_2015,Takeouts_2015,Draws_2016,Takeouts_2016,Draws_2017,Takeouts_2017,Draws_2018,Takeouts_2018,Draws_2019,Takeouts_2019,Draws_2020,Takeouts_2020,Draws_2021,Takeouts_2021,Draws_2022,Takeouts_2022,Draws_2023,Takeouts_2023,Draws_2024,Takeouts_2024,Draws_2025,Takeouts_2025,Worst,Worst%,Best,Best%
Aaron Sluchinski,79.50%,81.70%,80.70%,81.10%,683,"{""Lead"": {""start"": ""2022-03-07"", ""end"": ""2022-03-08"", ""count"": 2}, ""Fourth"": {""start"": ""2022-10-18"", ""end"": ""2025-03-03"", ""count"": 28}, ""Second"": {""start"": ""2024-11-05"", ""end"": ""2024-11-08"", ""count"": 2}, ""Third"": {""start"": ""2024-11-06"", ""end"": ""2025-03-06"", ""count"": 8}}","{""CA (Bottcher)"": {""start"": ""2022-03-07"", ""end"": ""2022-03-08"", ""count"": 2}, ""Sluchinski"": {""start"": ""2022-10-18"", ""end"": ""2024-10-05"", ""count"": 21}, ""AB-S (Sluchinski)"": {""start"": ""2024-03-01"", ""end"": ""2024-03-07"", ""count"": 6}, ""Koe"": {""start"": ""2024-11-05"", ""end"": ""2024-11-08"", ""count"": 4}, ""AB (Koe)"": {""start"": ""2025-02-28"", ""end"": ""2025-03-06"", ""count"": 6}}",,,,,,,,,92.90%,97.70%,91.70%,78.90%,81.80%,84.60%,70.80%,84.40%,83.20%,72.60%,73.60%,93.20%,,54.80%,68.40%,81.70%,87.50%,,,87.50%,87.50%,,,,81.20%,78.60%,85.00%,75.00%,25.00%,83.30%,87.50%,83.30%,65.00%,,,50.00%,64.30%,,,,,,,0.96,0.29,171,164,26.3,26.2,20.1,78.9,5.2,25,6,24,14,1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.60%,89.10%,83.10%,73.80%,80.70%,79.90%,82.10%,84.80%,Double CW,54.8,Guard CW,97.7
Aaron Squires,80.30%,82.40%,81.30%,92.80%,307,"{""Fourth"": {""start"": ""2016-03-20"", ""end"": ""2017-02-04"", ""count"": 6}, ""Third"": {""start"": ""2017-11-06"", ""end"": ""2017-11-10"", ""count"": 5}}","{""WLU"": {""start"": ""2016-03-20"", ""end"": ""2016-03-23"", ""count"": 4}, ""Bice"": {""start"": ""2017-11-06"", ""end"": ""2017-11-10"", ""count"": 5}, ""CAN (Squires)"": {""start"": ""2017-02-02"", ""end"": ""2017-02-04"", ""count"": 2}}",Right,1993,"London, ON","St Thomas, ON",,,Sir Wilfred Laurier,87.50%,83.30%,87.50%,94.40%,74.30%,77.10%,81.20%,86.10%,76.50%,86.70%,82.80%,75.00%,,,77.30%,75.00%,,82.50%,,,,25.00%,,,,,,81.20%,,,85.70%,87.50%,,66.70%,,,,,,,,,,,1.2,0.36,65,84,33.8,31,28.6,23.1,10.7,5,1,20,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.40%,83.50%,80.30%,80.40%,,,,,,,,,,,,,,,,,Promotion CCW,25,Guard CCW,94.4
Aaron Watson,94.30%,90.30%,93.20%,98.00%,202,"{""Lead"": {""start"": ""2013-03-02"", ""end"": ""2013-03-07"", ""count"": 6}}","{""BC (Bilesky)"": {""start"": ""2013-03-02"", ""end"": ""2013-03-07"", ""count"": 6}}",Right,1977,"Edmonton, AB","Delta, BC","Materials Handler, GFS Canada",,,96.70%,96.40%,87.50%,,93.90%,85.20%,,,83.30%,85.00%,,,,,,,,,,,,,96.20%,,,,93.80%,,,,,,,,,,,,,,,,,,0.82,0.1,51,49,17.6,20.4,8.2,33.3,-15.7,9,0,0,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00%,87.00%,,,,,,,,,,,,,,,,,,,,,,,,,Take-out CW,83.3,Draw CW,93.9
Abby Ackland,74.70%,75.10%,74.90%,71.10%,670,"{""Fourth"": {""start"": ""2016-01-23"", ""end"": ""2016-01-29"", ""count"": 7}, ""Third"": {""start"": ""2021-12-19"", ""end"": ""2024-10-04"", ""count"": 25}}","{""MB"": {""start"": ""2016-01-23"", ""end"": ""2016-01-29"", ""count"": 7}, ""Jones"": {""start"": ""2021-12-19"", ""end"": ""2021-12-19"", ""count"": 1}, ""Ackland"": {""start"": ""2023-01-10"", ""end"": ""2023-01-14"", ""count"": 5}, ""Campbell"": {""start"": ""2023-10-17"", ""end"": ""2024-10-04"", ""count"": 13}, ""WC3 (Walter)"": {""start"": ""2023-02-18"", ""end"": ""2023-02-23"", ""count"": 6}}",Right,1995,,,,,,,75.00%,88.80%,84.00%,74.00%,66.00%,71.20%,73.70%,76.70%,80.00%,76.90%,75.70%,85.00%,95.50%,57.00%,53.30%,57.60%,69.40%,,,,,,,86.10%,68.80%,66.20%,83.30%,,,82.50%,81.20%,,87.50%,50.00%,93.80%,75.00%,0.00%,91.70%,0.00%,,,,,1.05,0.37,167,156,26.3,34,25.6,31.7,-5.4,23,3,13,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.00%,70.60%,,,,,,,,,76.90%,64.30%,,,74.40%,78.90%,79.90%,73.60%,,,Double CCW,53.3,Guard CW,88.8
Adam Boland,73.60%,71.50%,72.70%,83.00%,461,"{""Fourth"": {""start"": ""2016-11-13"", ""end"": ""2017-03-22"", ""count"": 11}, ""Second"": {""start"": ""2019-03-02"", ""end"": ""2019-03-06"", ""count"": 5}, ""Third"": {""start"": ""2021-03-07"", ""end"": ""2022-09-21"", ""count"": 2}, ""Lead"": {""start"": ""2021-03-10"", ""end"": ""2021-03-10"", ""count"": 1}}","{""NL (Boland)"": {""start"": ""2016-11-13"", ""end"": ""2016-11-18"", ""count"": 6}, ""Mun (Boland)"": {""start"": ""2017-03-18"", ""end"": ""2017-03-22"", ""count"": 5}, ""NL"": {""start"": ""2019-03-02"", ""end"": ""2019-03-06"", ""count"": 5}, ""NL (Smith)"": {""start"": ""2021-03-07"", ""end"": ""2021-03-10"", ""count"": 2}, ""Smith"": {""start"": ""2022-09-21"", ""end"": ""2022-09-21"", ""count"": 1}}",Right,1993,,,,,,86.80%,93.80%,77.80%,62.50%,71.80%,69.50%,75.00%,66.70%,75.00%,74.10%,61.40%,67.40%,92.90%,97.20%,57.70%,47.50%,75.00%,66.70%,,,,,70.00%,,79.20%,75.00%,,67.90%,,50.00%,,77.30%,75.00%,66.70%,83.30%,,,,,,,,,,1.04,0.32,117,108,28.2,24.1,22.2,23.1,5.1,11,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.90%,72.70%,75.50%,75.70%,,,76.30%,67.80%,,,80.60%,100.00%,85.70%,44.40%,,,,,,,Double CCW,47.5,Guard CW,77.8
Adam Casey,80.70%,83.10%,82.10%,78.80%,2224,"{""Second"": {""start"": ""2012-03-03"", ""end"": ""2025-03-05"", ""count"": 22}, ""Fourth"": {""start"": ""2016-03-05"", ""end"": ""2017-11-10"", ""count"": 17}, ""Third"": {""start"": ""2021-03-06"", ""end"": ""2022-04-16"", ""count"": 47}, ""Lead"": {""start"": ""2024-10-27"", ""end"": ""2024-10-27"", ""count"": 1}}","{""NL (Gushue)"": {""start"": ""2012-03-03"", ""end"": ""2013-03-10"", ""count"": 13}, ""PE (Casey)"": {""start"": ""2016-03-05"", ""end"": ""2016-03-11"", ""count"": 7}, ""SK (Casey)"": {""start"": ""2017-03-04"", ""end"": ""2017-03-09"", ""count"": 6}, ""Casey"": {""start"": ""2017-11-07"", ""end"": ""2017-11-10"", ""count"": 4}, ""MB (Gunnlaugson)"": {""start"": ""2020-02-29"", ""end"": ""2020-03-06"", ""count"": 7}, ""Gunnlaugsson"": {""start"": ""2020-02-09"", ""end"": ""2020-02-09"", ""count"": 1}, ""MB (Gunnlaugson"": {""start"": ""2021-03-06"", ""end"": ""2021-03-13"", ""count"": 7}, ""Gunnlaugso"": {""start"": ""2021-04-15"", ""end"": ""2021-10-31"", ""count"": 15}, ""Gunnlaugson"": {""start"": ""2021-10-19"", ""end"": ""2022-04-16"", ""count"": 18}, ""WC3 (Gunnlaugs)"": {""start"": ""2022-03-05"", ""end"": ""2022-03-11"", ""count"": 7}, ""CAN (Gushue)"": {""start"": ""2024-10-27"", ""end"": ""2025-03-05"", ""count"": 2}}",Right,1989,"Sevenmile Bay, PEI","St. John's, NL",Student,,,93.50%,94.60%,87.50%,90.20%,77.20%,79.00%,76.20%,80.90%,83.80%,87.10%,76.70%,80.50%,89.90%,92.10%,76.00%,73.00%,75.00%,71.90%,,,,,93.20%,88.90%,87.50%,88.10%,71.40%,80.10%,55.00%,87.50%,86.20%,95.50%,58.30%,53.60%,91.70%,91.20%,68.80%,70.00%,83.30%,67.90%,,,,,1.07,0.26,551,535,31.8,34.4,18.5,18,13.8,52,7,13.5,42,0,0,,,,,,,,,,,,,,,,,,,,,,,,,87.10%,82.90%,87.10%,84.30%,,,,,63.70%,86.80%,75.00%,78.90%,,,,,81.10%,83.20%,84.60%,81.60%,77.80%,84.30%,,,100.00%,,50.00%,100.00%,Raise CCW,71.9,Guard CCW,90.2
Adam Mceachren,74.70%,79.10%,77.50%,67.20%,485,"{""Lead"": {""start"": ""2020-03-11"", ""end"": ""2023-11-10"", ""count"": 9}, ""Second"": {""start"": ""2022-05-15"", ""end"": ""2022-05-22"", ""count"": 5}, ""Fourth"": {""start"": ""2023-03-15"", ""end"": ""2023-03-19"", ""count"": 5}}","{""Dalhousie (m)"": {""start"": ""2020-03-11"", ""end"": ""2020-03-15"", ""count"": 5}, ""CAN (Purcell)"": {""start"": ""2022-05-15"", ""end"": ""2022-05-22"", ""count"": 5}, ""Purcell"": {""start"": ""2023-11-07"", ""end"": ""2023-11-10"", ""count"": 4}, ""DAL - M"": {""start"": ""2023-03-15"", ""end"": ""2023-03-19"", ""count"": 5}}",Right,2001,,,,,,71.40%,83.80%,91.20%,91.20%,70.50%,82.90%,86.10%,66.70%,78.00%,73.70%,62.50%,62.50%,88.90%,84.10%,70.50%,73.40%,50.00%,79.20%,,25.00%,,75.00%,75.00%,86.10%,,83.30%,46.40%,93.80%,87.50%,75.00%,,62.50%,87.50%,37.50%,0.00%,75.00%,50.00%,,50.00%,,,0.00%,,,1.09,0.45,118,124,36.4,29.8,34.7,22.9,13.5,8,1,12.5,13,2,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.30%,75.00%,,,69.90%,72.90%,81.90%,71.80%,,,,,Wick CCW,25,Guard CW,91.2
Adam Spencer,87.20%,89.40%,88.30%,90.10%,426,"{""Second"": {""start"": ""2016-03-05"", ""end"": ""2022-03-10"", ""count"": 8}, ""Lead"": {""start"": ""2017-03-07"", ""end"": ""2022-03-09"", ""count"": 2}, ""Third"": {""start"": ""2017-11-06"", ""end"": ""2017-11-12"", ""count"": 7}}","{""ON (Howard)"": {""start"": ""2016-03-05"", ""end"": ""2022-03-10"", ""count"": 10}, ""Howard"": {""start"": ""2017-11-06"", ""end"": ""2017-11-12"", ""count"": 7}}",Right,1972,"Guelph, ON","Guelph, ON","Production & Service Manager, The Farley Group",Guelph CVI,George Brown,91.70%,,93.80%,97.20%,93.50%,85.40%,62.50%,94.20%,86.50%,89.20%,82.40%,85.20%,96.20%,94.20%,84.60%,87.00%,85.70%,86.50%,,,,,87.50%,,,,83.30%,85.00%,87.50%,,37.50%,79.20%,87.50%,,,93.80%,,,,,,,,,0.97,0.23,102,106,26.5,34,14.2,9.8,16.7,9,1,11.1,10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.60%,90.70%,83.50%,85.30%,,,,,,,,,87.50%,100.00%,,,,,,,Freeze CW,62.5,Guard CCW,97.2
Adam Tracy,74.00%,76.00%,75.00%,80.30%,299,"{""Third"": {""start"": ""2017-04-18"", ""end"": ""2017-04-21"", ""count"": 4}, ""Second"": {""start"": ""2020-01-19"", ""end"": ""2020-01-24"", ""count"": 6}}","{""NB (Marin)"": {""start"": ""2017-04-18"", ""end"": ""2017-04-21"", ""count"": 4}, ""NB"": {""start"": ""2020-01-19"", ""end"": ""2020-01-24"", ""count"": 6}}",Right,,,,,,,82.10%,85.70%,77.10%,76.70%,77.70%,76.70%,66.70%,66.70%,69.30%,74.50%,71.90%,63.50%,67.50%,89.40%,68.80%,62.50%,,66.70%,,,,,70.80%,,,,79.20%,81.20%,,,,62.50%,,,,90.00%,0.00%,,,,,,,,1.01,0.38,70,77,31.4,36.4,22.1,25.7,5.7,7,2,28.6,5,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.20%,69.80%,,,,,81.20%,75.90%,,,,,,,,,,,Double CCW,62.5,Draw CW,77.7
Adam Vincent,82.70%,71.00%,77.30%,72.10%,206,"{""Third"": {""start"": ""2019-01-19"", ""end"": ""2019-01-25"", ""count"": 7}, ""Second"": {""start"": ""2020-03-13"", ""end"": ""2020-03-14"", ""count"": 2}}","{""ON"": {""start"": ""2019-01-19"", ""end"": ""2019-01-25"", ""count"": 7}, ""Laurier (m)"": {""start"": ""2020-03-13"", ""end"": ""2020-03-14"", ""count"": 2}}",Right,1998,,,,,,96.40%,,95.80%,79.50%,80.40%,62.50%,,56.20%,84.30%,71.40%,69.40%,70.00%,80.00%,79.20%,75.00%,80.00%,75.00%,70.00%,,,,,,,,87.50%,75.00%,50.00%,,,,50.00%,75.00%,,0.00%,50.00%,87.50%,,62.50%,,,,,,1.08,0.37,48,51,29.2,25.5,25.5,25,4.2,5,1,20,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.50%,77.70%,80.60%,67.60%,,,,,,,,,,,Freeze CCW,56.2,Guard CW,95.8
