Team 1,Team 2,Wins1,Wins2,Team1Win %,Team2Win %,Games
Black,Campbell,1,0,1,0,1
Black,Einarson,0,4,0,1,4
Black,Galusha,1,0,1,0,1
Black,Gim,1,0,1,0,1
Black,Grandy,1,0,1,0,1
Black,Hasselborg,0,1,0,1,1
Black,Homan,1,3,0.25,0.75,4
Black,Jones,1,0,1,0,1
Black,Lawes,1,1,0.5,0.5,2
Black,Martin,1,0,1,0,1
Black,Skrlik,1,1,0.5,0.5,2
Black,Wrana,1,1,0.5,0.5,2
Bottcher,Calvert,1,0,1,0,1
Bottcher,Carey,0,1,0,1,1
Bottcher,Dropkin,6,1,0.857142857,0.142857143,7
Bottcher,Dunstone,9,6,0.6,0.4,15
Bottcher,Edin,6,5,0.545454545,0.454545455,11
Bottcher,Epping,9,2,0.818181818,0.181818182,11
Bottcher,Gauthier,1,0,1,0,1
Bottcher,Gushue,14,13,0.518518519,0.481481481,27
Bottcher,Howard,7,1,0.875,0.125,8
Bottcher,Jacobs,4,5,0.444444444,0.555555556,9
Bottcher,Jones,1,0,1,0,1
Bottcher,Koe,6,12,0.333333333,0.666666667,18
Bottcher,Laycock,2,0,1,0,2
Bottcher,McEwen,9,4,0.692307692,0.307692308,13
Bottcher,Morrison,0,3,0,1,3
Bottcher,Mouat,2,8,0.2,0.8,10
Bottcher,Retornaz,2,5,0.285714286,0.714285714,7
Bottcher,Schwaller,3,2,0.6,0.4,5
Bottcher,Shuster,2,0,1,0,2
Bottcher,Sluchinski,1,0,1,0,1
Bottcher,Smith,2,0,1,0,2
Bottcher,Sturmay,1,0,1,0,1
Bottcher,Whyte,4,2,0.666666667,0.333333333,6
Bottcher,de Cruz,1,0,1,0,1
Brown,Carey,1,1,0.5,0.5,2
Brown,Einarson,0,2,0,1,2
Brown,Feltscher,0,1,0,1,1
Brown,Fujisawa,0,1,0,1,1
Brown,Galusha,2,0,1,0,2
Brown,Gim,1,0,1,0,1
Brown,Hasselborg,0,1,0,1,1
Brown,Homan,0,2,0,1,2
Brown,Jones,0,3,0,1,3
Brown,Kim,1,0,1,0,1
Brown,Lawes,0,1,0,1,1
Brown,Muirhead,0,1,0,1,1
Brown,Sidorova,1,0,1,0,1
Brown,Sturmay,0,1,0,1,1
Calvert,Carey,1,0,1,0,1
Calvert,Craik,1,0,1,0,1
Calvert,Howard,0,1,0,1,1
Calvert,McEwen,1,0,1,0,1
Calvert,Tardi,0,1,0,1,1
Calvert,Whyte,0,1,0,1,1
Campbell,Carey,0,1,0,1,1
Campbell,Einarson,1,1,0.5,0.5,2
Campbell,Ferbey,0,1,0,1,1
Campbell,Fujisawa,0,1,0,1,1
Campbell,Gushue,0,1,0,1,1
Campbell,Howard,0,1,0,1,1
Campbell,Jones,0,1,0,1,1
Campbell,Martin,1,0,1,0,1
Campbell,Sturmay,0,1,0,1,1
Campbell,Tirinzoni,0,1,0,1,1
Carey,Cotter,0,1,0,1,1
Carey,Craik,0,1,0,1,1
Carey,Einarson,1,7,0.125,0.875,8
Carey,Feltscher,1,0,1,0,1
Carey,Fujisawa,0,2,0,1,2
Carey,Galusha,1,0,1,0,1
Carey,Gim,1,0,1,0,1
Carey,Gushue,0,2,0,1,2
Carey,Hasselborg,1,2,0.333333333,0.666666667,3
Carey,Homan,4,9,0.307692308,0.692307692,13
Carey,Howard,1,2,0.333333333,0.666666667,3
Carey,Jacobs,0,2,0,1,2
Carey,Jentsch,1,0,1,0,1
Carey,Jones,3,7,0.3,0.7,10
Carey,Kim,0,3,0,1,3
Carey,Kleibrink,1,0,1,0,1
Carey,Koe,2,3,0.4,0.6,5
Carey,Lawes,1,0,1,0,1
Carey,Laycock,0,1,0,1,1
Carey,Mallett,1,0,1,0,1
Carey,McEwen,0,2,0,1,2
Carey,Morrison,1,1,0.5,0.5,2
Carey,Muirhead,1,0,1,0,1
Carey,Robertson,0,1,0,1,1
Carey,Sidorova,0,3,0,1,3
Carey,Skrlik,0,1,0,1,1
Carey,Smith,0,1,0,1,1
Carey,Sturmay,0,2,0,1,2
Carey,Tirinzoni,0,2,0,1,2
Carey,Wrana,1,1,0.5,0.5,2
